year,liquid_fuel
1960,115836.863
1961,118759.462
1962,126390.489
1963,134380.882
1964,143838.075
1965,151872.472
1966,155953.843
1967,171630.268
1968,179349.303
1969,181677.848
1970,211545.563
1971,220507.711
1972,233510.893
1973,238369.668
1974,249128.646
1975,242183.348
1976,233925.264
1977,233892.261
1978,234016.939
1979,244493.558
1980,241493.952
1981,228094.734
1982,208813.648
1983,193969.632
1984,192664.18
1985,186811.648
1986,186580.627
1987,202029.698
1988,211054.185
1989,206811.466
1990,205729.701
1991,192418.491
1992,197761.31
1993,202385.397
1994,201857.349
1995,205616.024
1996,207313.845
1997,215179.56
1998,224325.058
1999,227731.701
2000,231197.016
2001,231684.727
2002,224064.701
2003,244863.925
2004,253375.032
2005,252520.621
2006,263462.949
2007,265058.094
2008,258057.791
2009,255776.917
2010,250892.473
2011,244830.922
2012,241970.662
2013,242084.339
2014,253327.361
2015,269326.482
2016,252538.956
