year,liquid_fuel
1960,1282679.93
1961,1298378.357
1962,1335840.429
1963,1360368.992
1964,1395058.812
1965,1465890.584
1966,1530913.828
1967,1590495.244
1968,1690806.029
1969,1783086.084
1970,2039750.415
1971,2099023.803
1972,2271031.772
1973,2401448.627
1974,2301790.568
1975,2236565.639
1976,2301313.858
1977,2444719.227
1978,2494601.428
1979,2422302.856
1980,2218523.999
1981,2037201.85
1982,1930701.169
1983,1928189.274
1984,1959443.115
1985,1963084.446
1986,2046846.06
1987,2097883.366
1988,2181681.65
1989,2174523.666
1990,1993879.912
1991,1961294.95
1992,2006245.036
1993,2047187.091
1994,2076284.736
1995,2076156.391
1996,2134454.357
1997,2188656.284
1998,2236224.608
1999,2267434.445
2000,2318017.043
2001,2327815.267
2002,2304383.137
2003,2376461.689
2004,2428170.056
2005,2446413.381
2006,2394921.367
2007,2377235.426
2008,2242168.815
2009,2152257.642
2010,2166283.917
2011,2091649.466
2012,2041968.95
2013,2073013.772
2014,2077395.837
2015,2132547.517
2016,2127054.351
